['2024-04-09', '1712638187', 'twitter.com.', '210', 'IN', 'A', '69.171.242.11', '1003978', '39.102.163.20']['A', 'facebook.com.tr.', 'A', 'facebook.com.tr.', '86400', '1712627670000', '0.014957726001739502', '866401023', '0', '0', 'ans', '69.171.242.11', '', 'US', '32934', '[32934]', '69.171.240.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712680194', 'twitter.com.', '253', 'IN', 'A', '199.59.150.12', '55328', '115.195.150.175']['A', 'www.maxreader.net.', 'A', 'www.maxreader.net.', '113', '1712624846000', '0.22801467776298523', '866401023', '0', '0', 'ans', '199.59.150.12', '', 'US', '13414', '[13414]', '199.59.148.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712631536', 'twitter.com.', '183', 'IN', 'A', '111.243.214.169', '1006022', 'fd00:114:514:4:dcb0:cdff:fe1c:e2a4']['A', '8bqg.net.', 'A', '8bqg.net.', '85', '1712628183000', '0.234017014503479', '866401023', '0', '0', 'ans', '111.243.214.169', '', 'TW', '3462', '[3462]', '111.243.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712674580', 'twitter.com.', '109', 'IN', 'A', '74.86.3.208', '54725', '2409:8a55:2ea7:6010:1:20ff:fe20:90fc']['A', 'biquguan.com.', 'A', 'biquguan.com.', '181', '1712625725000', '0.4533994346857071', '866401023', '0', '0', 'ans', '74.86.3.208', '', 'US', '36351', '[36351]', '74.86.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712631094', 'nytimes.com.', '241', 'IN', 'A', '199.59.150.40', '60314', '180.154.35.109']['A', 'www.hideipproxy.com.', 'A', 'www.hideipproxy.com.', '140', '1712624371000', '0.485019750893116', '866401023', '0', '0', 'ans', '199.59.150.40', '', 'US', '13414', '[13414]', '199.59.148.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712674538', 'twitter.com.', '222', 'IN', 'A', '128.242.240.59', '1003936', '159.75.8.103']['A', 'www.o4vag.com.', 'A', 'www.o4vag.com.', '193', '1712626342000', '0.3294365108013153', '866401023', '0', '0', 'ans', '128.242.240.59', '', 'US', '2914', '[2914]', '128.242.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712687030', 'paypal.com.', '11', 'IN', 'A', '151.101.129.21', '22814', '2403:5816:9138:0:ea94:f6ff:fe48:c8bc']['A', 'venmo-experience.com.', 'A', 'venmo-experience.com.', '300', '1712627051000', '0.00945746898651123', '866401023', '0', '1', 'ans', '151.101.129.21', '', 'US', '54113', '[54113]', '151.101.128.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712638174', 'nytimes.com.', '123', 'IN', 'A', '199.59.148.8', '1003978', '39.102.163.20']['A', 'www.mcmssc.com.', 'A', 'www.mcmssc.com.', '166', '1712624669000', '0.24456598609685898', '866401023', '0', '0', 'ans', '199.59.148.8', '', 'US', '13414', '[13414]', '199.59.148.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712679469', 'twitter.com.', '137', 'IN', 'A', '69.63.180.173', '61553', '2408:8248:1a13:1260:da58:d7ff:fe03:103']['A', '77169.com.', 'A', '77169.com.', '167', '1712628795000', '0.2461496740579605', '866401023', '0', '0', 'ans', '69.63.180.173', '', 'US', '32934', '[32934]', '69.63.176.0/21', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712683692', 'univ-grenoble-alpes.fr.', '60', 'IN', 'A', '208.91.112.55', '55290', '212.114.28.87']['A', 'www.edenorte.com.do.', 'A', 'www.edenorte.com.do.', '60', '1712622457000', '0.13371094316244125', '866401023', '0', '0', 'ans', '208.91.112.55', '', 'US', '40934', '[40934]', '208.91.112.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712690355', 'paypal.com.', '75', 'IN', 'A', '192.229.210.155', '26439', '2a10:d582:280b:0:c66e:1fff:fe3a:d734']['A', 'venmo-experience.com.', 'A', 'venmo-experience.com.', '300', '1712627051000', '0.00945746898651123', '866401023', '0', '1', 'ans', '192.229.210.155', '', 'US', '15133', '[15133]', '192.229.210.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
